index,target_lat,target_lon,pano_id,pano_lat,pano_lon,distance_to_pano_m,heading,image_file
0,50.10203546464578,14.39289450645447,gfOcM-I8lkmY3UAn-L6PRw,50.10208139117812,14.39284500678157,6.21,124.18,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0000.jpg
1,50.10201656046512,14.392937902325583,nn5LMAkfJRkQv31SF9uTYA,50.10202967682938,14.39301740530692,5.85,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0001.jpg
2,50.10204612093023,14.392884304651163,gfOcM-I8lkmY3UAn-L6PRw,50.10208139117812,14.39284500678157,4.82,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0002.jpg
3,50.10207568139535,14.392830706976746,gfOcM-I8lkmY3UAn-L6PRw,50.10208139117812,14.39284500678157,1.20,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0003.jpg
4,50.102105241860464,14.392777109302326,rNuw8QdI95icPCHgmmixKA,50.10213869520126,14.39274056098889,4.54,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0004.jpg
5,50.10213480232558,14.392723511627908,rNuw8QdI95icPCHgmmixKA,50.10213869520126,14.39274056098889,1.29,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0005.jpg
6,50.102164362790695,14.392669913953489,IY9XNXHNYPd1Bp5YgMs-Tw,50.1021988097968,14.39263097615503,4.73,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0006.jpg
7,50.10219392325581,14.39261631627907,IY9XNXHNYPd1Bp5YgMs-Tw,50.1021988097968,14.39263097615503,1.18,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0007.jpg
8,50.102223483720934,14.392562718604651,atSg5Enm2blTtS403AZnMw,50.10225650702155,14.39252595143309,4.51,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0008.jpg
9,50.10225304418605,14.392509120930233,atSg5Enm2blTtS403AZnMw,50.10225650702155,14.39252595143309,1.26,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0009.jpg
