source_index,source_lat,source_lon,source_current_pano_id,source_current_image_file,candidate_rank,historical_pano_id,historical_date,historical_lat,historical_lon,distance_to_source_m,heading,pitch,roll,search_status,error
0,50.10203546464578,14.39289450645447,gfOcM-I8lkmY3UAn-L6PRw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0000.jpg,0,KF_9v-wrbuacv24KU9DGzw,2014-05,50.10206917216939,14.39286505275209,4.297,322.796142578125,89.9361572265625,1.122452139854431,ok,
0,50.10203546464578,14.39289450645447,gfOcM-I8lkmY3UAn-L6PRw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0000.jpg,1,4zun1HTkrEMSTtFYhnLChg,2009-05,50.10208825056291,14.39282048667071,7.894,311.7889709472656,91.61907958984375,359.6485290527344,ok,
0,50.10203546464578,14.39289450645447,gfOcM-I8lkmY3UAn-L6PRw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0000.jpg,2,LGZflfisT1UuAFIPdKf9OQ,2011-08,50.10210126473553,14.39280365388944,9.774,310.4418640136719,89.33309936523438,359.5214233398438,ok,
1,50.10201656046512,14.392937902325583,nn5LMAkfJRkQv31SF9uTYA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0001.jpg,0,G890yIR0e-dRTrMgMOFejA,2011-08,50.10201753524907,14.39300133456046,4.525,46.29557418823242,89.36341857910156,0.3710813224315643,ok,
1,50.10201656046512,14.392937902325583,nn5LMAkfJRkQv31SF9uTYA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0001.jpg,1,RRKMbhrTt00cLOEhVmK47g,2014-05,50.10203129764556,14.39303056412051,6.809,235.720458984375,90.33873748779297,359.5657043457031,ok,
1,50.10201656046512,14.392937902325583,nn5LMAkfJRkQv31SF9uTYA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0001.jpg,2,o7MvLuYUPVksjbGPboYYtA,2009-06,50.1020278011846,14.39305000958141,8.093,39.90000534057617,91.21516418457031,0.404764324426651,ok,
2,50.10204612093023,14.392884304651163,gfOcM-I8lkmY3UAn-L6PRw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0002.jpg,0,KF_9v-wrbuacv24KU9DGzw,2014-05,50.10206917216939,14.39286505275209,2.908,322.796142578125,89.9361572265625,1.122452139854431,ok,
2,50.10204612093023,14.392884304651163,gfOcM-I8lkmY3UAn-L6PRw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0002.jpg,1,4zun1HTkrEMSTtFYhnLChg,2009-05,50.10208825056291,14.39282048667071,6.532,311.7889709472656,91.61907958984375,359.6485290527344,ok,
2,50.10204612093023,14.392884304651163,gfOcM-I8lkmY3UAn-L6PRw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0002.jpg,2,LGZflfisT1UuAFIPdKf9OQ,2011-08,50.10210126473553,14.39280365388944,8.408,310.4418640136719,89.33309936523438,359.5214233398438,ok,
3,50.10207568139535,14.392830706976746,gfOcM-I8lkmY3UAn-L6PRw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0003.jpg,0,4zun1HTkrEMSTtFYhnLChg,2009-05,50.10208825056291,14.39282048667071,1.576,311.7889709472656,91.61907958984375,359.6485290527344,ok,
